index, name, representative, domain, area, website,
"1"," 경희국제의료협력회"," 강병남"," 의료사업"," 키르키즈스탄"," http://www.khimcs.org",""
"2"," 고앤두인터내셔널"," 강순화"," 지역개발"," 캄보디아, 타지키스탄, 미얀마, 몽골"," http://www.gdiwelfare.org",""
"3"," 국경없는교육가회"," 김기석"," 교육"," 부르키나파소, 세네갈, 에티오피아 등"," http://www.ewb.or.kr",""
"4"," 국제사랑의봉사단"," 김의환"," 긴급구호"," 방글라데시"," http://www.lci.or.kr/",""
"5"," 국제아동돕기연합"," 신세용"," 보건사업, 의료지원"," 탄자니아"," http://www.uhic.org",""
"6"," 국제옥수수재단"," 김순권"," 식량자립(슈퍼옥수수 종자개발)"," 미얀마, 캄보디아, 동티모르 등"," http://www.icf.or.kr",""
"7"," 국제의료협력단"," 유영근"," 보건의료, 긴급구호"," 인도네시아, 베트남, 중국, 우즈베티스탄, 카자흐스탄, 스리랑카 등"," http://www.pmci.or.kr",""
"8"," 굿네이버스"," 이일하"," 지역개발, 권리옹호, 긴급구호"," 아프리카국, 아시아국, 중남미국 등"," http://www.goodneighbors.kr",""
"9"," 굿파트너즈"," 김성겸"," 지역개발사업, 직업훈련학교, 식수위생개선, 소득증대사업"," 스리랑카, 우간다"," http://www.goodpartners.or.kr",""
"10"," 굿피플인터내셔널"," 이영훈"," 보건의료, 교육지원, 지역개발, 아동보호"," 필리핀, 케냐, 미얀마, 인도, 라오스 등"," http://www.goodpeople.or.kr/",""
"11"," 그린티처스"," 강창욱"," 교육, 국제교류"," 케냐, 미얀마"," http://www.greenteachers.kr",""
"12"," 글로벌케어"," 박용준"," 인도적지원사업, 보건의료사업, 식수위생사업"," 베트남, 캄보디아, 방글라데시, 모로코, 레바논, 네팔, 필리핀"," http://www.globalcare.or.kr",""
"13"," 글로벌호프"," 조용중"," 교육사업, 지역개발, 긴급구호"," 네팔, 미얀마, 인도, 키르기스스탄 등"," http://globalhope.kr",""
"14"," 나눔인터내셔날"," 이윤상"," 보건의료사업, 아동지원사업, 장애아동 재활사업 등"," 베트남, 캄보디아, 탄자니아, 에콰도르, 페루 등"," http://www.inanum.org",""
"15"," 데일리다일"," 최일도"," 교육사업, 의료사업, 지역개발, 식량지원"," 중국, 베트남, 캄보디아, 필리핀, 네팔, 탄자니아"," http://www.dail.org",""
"16"," 대한불교조계종사회복지재단"," 자승스님"," 불교계 사회복지시설 구축 및 지원, 구호사업"," 몽골, 라오스"," http://jabinanum.or.kr/xe/main",""
"17"," 대한한의약해외의료봉사단"," 허영진"," 한방 관련 의료사업 및 학술교류"," 러시아, 중앙아시아, 몽골, 동남아시아, 중국, 에티오피타, 터키 등"," http://www.komsta.org/",""
"18"," 더멋진세상"," 이재훈"," 의료사업, 보건사업, 교육사업, 긴급구호"," 세네갈, 기니비사우, 르완다, 터키, 시리아, 파키스탄, 미얀마, 태국, 일본"," http://www.abetterworld.or.kr/",""
"19"," 더프라미스"," 김용선"," 지역개발사업, 교육사업"," 미얀마, 동티모르"," http://www.thepromise.or.kr",""
"20"," 덴탈서비스인터내셔날"," 김명진"," 치과 의료사업"," 태국, 캄보디아, 인도네시아, 파키스탄, 말레이시아"," http://www.dsi.or.kr",""
"21"," 동방사회복지회"," 김도종"," 환경개선사업, 교육지원"," 필리핀"," http://eastern.or.kr",""
